reference,development-plan,development-plan-event,event-date,notes,entry-date,start-date,end-date
WBDC-LP2042-T01,WBDC-LP2042,evidence-base-preparation,2022-04-01,SHMA; ELNA; transport modelling; Green Belt review,2022-09-01,2022-04-01,2023-06-30
WBDC-LP2042-T02,WBDC-LP2042,regulation-18-consultation,2023-09-04,Issues and Options; 2341 representations received,2022-09-01,2023-09-04,2023-10-16
WBDC-LP2042-T03,WBDC-LP2042,regulation-18-consultation,2024-05-07,Preferred Options; 3018 representations received,2022-09-01,2024-05-07,2024-06-18
WBDC-LP2042-T04,WBDC-LP2042,sustainability-appraisal,2025-04-01,SA/SEA including Habitats Regulations Assessment,2025-04-01,2025-04-01,2025-09-30
WBDC-LP2042-T05,WBDC-LP2042,regulation-19-publication,2025-11-10,Soundness representations only; collation in progress,2025-11-10,2025-11-10,2026-01-09
WBDC-LP2042-T06,WBDC-LP2042,submission,2026-04-01,Subject to member approval,2026-01-10,2026-04-01,
WBDC-LP2042-T07,WBDC-LP2042,examination,2026-10-01,Inspector appointment by PINS,2026-01-10,2026-10-01,
WBDC-LP2042-T08,WBDC-LP2042,main-modifications-consultation,2027-03-01,Subject to Inspector's findings,2026-01-10,2027-03-01,2027-04-12
WBDC-LP2042-T09,WBDC-LP2042,adoption,2027-09-01,Full Council resolution required,2026-01-10,2027-09-01,
WBDC-LP2036-T01,WBDC-LP2036,regulation-19-publication,2016-09-05,,2022-09-01,2016-09-05,2016-10-17
WBDC-LP2036-T02,WBDC-LP2036,submission,2016-12-14,,2022-09-01,2016-12-14,2016-12-14
WBDC-LP2036-T03,WBDC-LP2036,examination,2017-02-06,,2022-09-01,2017-02-06,2017-04-28
WBDC-LP2036-T04,WBDC-LP2036,adoption,2017-06-22,Adopted by Full Council,2022-09-01,2017-06-22,2017-06-22
